name,lat,lon,type
zona d'escalada Ca'n Nyic,39.7915807,2.7764382,node
zona d'escalada del Gorg Blau,39.8141147,2.8260752,node
Zona d'escalada Tijuana,39.3271170,3.1495306,node
Rocódromo,37.3710159,-6.0449618,node
zona d'escalada La Creueta,39.9270259,3.1054941,node
Mini-Rocódromo,40.3716931,-3.4825682,node
"Freebloc, gimnasio de escalada",41.3736417,2.1374191,node
Can Romu,41.7327745,1.8297287,node
Indoorwall el Clot,41.4113867,2.1891159,node
Espacio y Acción,40.4318508,-3.6541801,node
Callao Climbing Area,28.1331990,-16.7671633,node
Urban Monkey,40.4016182,-3.6975942,node
,40.3930874,-3.6862540,node
Rocódromo,40.4761370,-3.6627915,node
,41.0796289,1.1286759,node
Rock'n'Bloc,37.2170864,-3.6236447,node
Rocódromo da Malata,43.4913784,-8.2401234,node
zona d'escalada Fraguel,39.6975355,2.7198321,node
zona d'escalada Port de Sóller,39.8054184,2.6961248,node
Sa Gúbia - zona d'escalada,39.6946761,2.6729801,node
Roc 30,40.3992752,-3.7186614,node
Mascarat,38.6375128,0.0064315,node
Sharma Climbing BCN,41.4157253,2.2105633,node
,39.5629849,-0.6318212,node
el Pati Vertical,41.7290711,1.8327941,node
Pagoeta M. E.,43.2856446,-2.1775059,node
Placas Grandes,36.0853174,-5.7191328,node
Sputnik Climbing Center,40.5359814,-3.6566542,node
Trepadero,42.1388574,-0.4027370,node
,43.3722631,-5.8270246,node
Sala Boulder CEC,41.3883417,2.1764616,node
Monobloc,41.1580129,1.1215946,node
La Ola,40.9468747,-5.6563644,node
,37.2595189,-5.5485640,node
Barranquet del Ferri,38.7054276,-0.4989335,node
Rocódromo,43.3511951,-5.8505654,node
zona d'escalada de Sa Mola,39.4701118,3.1402500,node
Rocódromo La Sala,37.1716047,-3.5959806,node
,41.8153797,3.0511482,node
Laif Climbing Gym,39.5007671,-0.3931954,node
Sa Gúbia Sector Potaje Español,39.6939234,2.6733859,node
Sa Gúbia - Sector Silicona,39.6935447,2.6739760,node
Sa Gúbia - Cara Oeste,39.6965466,2.6731861,node
Sa Gúbia - Albahida,39.6954713,2.6732853,node
Sa Gúbia - Sector Bomberos,39.6953268,2.6738808,node
Sa Gúbia - Sector Princesa,39.6950689,2.6741919,node
Sa Gúbia - Sector Isla Bonita,39.6942836,2.6738204,node
Sa Gúbia - Sector Excàlibur,39.6937108,2.6735629,node
Sa Gúbia - Paret dels Coloms,39.6931546,2.6720810,node
,40.3038024,-3.8594155,node
Puig Campana,38.5897477,-0.2061479,node
Rocódromo Fernando Soriano Martínez,41.8659447,-0.7867006,node
,38.9946058,-5.5256261,node
,42.8307888,-5.1174944,node
,42.8305607,-5.1163303,node
Ponoig,38.6156759,-0.1550263,node
Can Bombo,42.1734220,2.4813790,node
,40.5039925,-3.5248446,node
,41.6925161,0.5973951,node
Rock & Wall Climbing,37.3922823,-5.9573198,node
Bloc Arc,38.3918322,-0.5224576,node
Rocódromo autogestionado de Can Batlló,41.3692635,2.1371099,node
Pared con rocódromo gratis,41.4167533,2.1731105,node
,41.4376468,2.1696104,node
Sector Barranc Balnc,38.9337264,-0.2706181,node
Rocódromo de Roquetes,41.4504802,2.1775537,node
,41.4477340,2.1715898,node
Búlder La Serreta,38.4212213,-0.7464849,node
La Mola de Montesa,38.9510928,-0.6571600,node
Mula. Sector Fisuras,38.0745693,-1.5057009,node
Mula. Sector Gruyer,38.0749811,-1.5059236,node
Mula. Sector Ferrari,38.0722657,-1.5022114,node
,38.9114841,1.4225969,node
Zima escalada,38.8685608,-6.9547613,node
Escalada sector Aizkorri,43.2028351,-1.9839444,node
Escalada sector Amasola,43.1890505,-2.0034814,node
,43.4576253,-4.9368730,node
totxo de l'estel,41.5757131,1.8229841,node
Placa de l'Indi,41.5756303,1.8230780,node
els Graus,41.5755382,1.8239576,node
,40.3857288,-3.6365101,node
,40.6817290,-3.9507371,node
"Céllecs, sector Contravent",41.5590371,2.3372588,node
Forronias,42.7298620,-0.2706800,node
Rocòdrom,41.3846738,2.1281534,node
Drac de Pedra,41.5051809,2.0454664,node
,38.3910988,-0.9603025,node
Serra de Bastany,38.3946203,-0.9356406,node
Indoorwall Manresa,41.7364387,1.8409923,node
Rocodrom Es Cau,39.5840888,2.6601431,node
Entreno agarre escalada,38.2987949,-0.7018843,node
Los Bordillos,36.0915337,-5.7213172,node
Arapiles,36.0917453,-5.7225396,node
Mosaico,36.0920322,-5.7240959,node
Sol,36.0926175,-5.7259360,node
Bloque,36.0932850,-5.7269177,node
El Panal,36.0931203,-5.7266494,node
rocòdrom,41.3577337,2.0860933,node
,42.3547530,1.4646110,node
Cueva del Arenal,41.2623574,-3.8484157,node
Monkey Rock,37.9044074,-4.7586774,node
,43.4422700,-4.0040766,node
Vías de escalada,40.5251947,-0.3939123,node
es Rocòdrom,39.7221876,2.9013503,node
Bloc District,41.3968987,2.1889678,node
Udal rokodromoa,43.1002335,-2.3837975,node
,41.5749903,1.8248513,node
Boulder La Fusteria,41.6382020,2.3627283,node
,40.3905332,-3.6332100,node
BOULDER ZONE RETIRO,40.4345100,-3.6687386,node
AIR ROCK,42.3409793,-3.6815653,node
,41.6081486,-4.7985958,node
,41.6081470,-4.7988502,node
,39.5269440,-0.4087200,node
Rocódromo boulder puente Almendrales,40.3822827,-3.6939575,node
Rocódromo,38.0083954,-3.3781615,node
,40.2683911,-3.7002088,node
Escuela de escalada de Alange,38.7866760,-6.2651533,node
,42.5038419,-8.6159323,node
Madrid vertical,40.4255460,-3.6005491,node
,43.3824258,-2.9756483,node
Rocòdrom Amics de la Muntanya Serra Rosildos Ibarsos,40.2680233,-0.0198966,node
"SLAB, SALA DE ESCALADA",41.1470160,1.1291169,node
,39.4803490,-0.3395991,node
,40.3827428,-3.6306484,node
La Enclusa,42.6420888,0.1730286,node
Alpargateros,42.0614643,0.2844698,node
Indoorwall Vilanova i la Geltrú,41.2455297,1.7202996,node
,39.5334598,-0.4077310,node
,39.5333345,-0.4077902,node
,43.2114134,-2.8865561,node
Rocódromo Soul Climb Leganés,40.3200278,-3.7481749,node
Rocódromo La Reunión,40.3420879,-3.5344742,node
Búlder Planet Vallès,41.5484576,2.1805145,node
Escuela de Escalada de Eulate,42.7826318,-2.2126972,node
Escuela de Escalada de Larraona,42.7856540,-2.2588658,node
,40.4657249,-0.2926320,node
Rocòdrom Boulder Balaguer,41.7962914,0.8100862,node
,41.6429516,2.3544436,node
Monobloc Sala d'escalada,41.4247124,2.1858417,node
Mula. Sector El Abuelo,38.0736171,-1.5038864,node
,39.6055991,2.6561002,node
Sputnik Climbing Berango,43.3694261,-2.9939369,node
,40.0071046,-0.2828615,node
Rocódromo,28.4968480,-16.3138201,node
,39.4568988,-0.3783423,node
,39.4569857,-0.3782929,node
Peña Puerta,42.2784604,-2.5282928,node
,36.7192997,-4.6172933,node
Golem Blanes,41.6750497,2.7745204,node
,42.7099519,-2.1287203,node
,42.7119940,-2.1262844,node
,42.7121768,-2.1260417,node
Rocópolis,42.8461728,-1.6889620,node
Sputnik Las Rozas,40.4984026,-3.8908712,node
Moia - Sector Montbru,41.7912552,2.0759817,node
Vilanova de Prades,41.3550655,0.9648318,node
Frias de Albarracin,40.3400076,-1.6092494,node
Cereza Wall,40.0023701,-6.1210339,node
,42.8812380,-5.7702684,node
,39.4655759,-0.3574533,node
Sputnik Legazpi,40.3889763,-3.6891738,node
,40.3836274,-3.6446868,node
El Vidrio,43.2925489,-4.1255028,node
The Factory Boulder,43.3019143,-1.9440837,node
Bulder Land,41.6551586,-0.9033780,node
La Escola,38.2771563,-0.8448408,node
Rocódromo de Fraga,41.5255305,0.3422504,node
Klimb,43.2821361,-2.1624007,node
,40.2927067,-0.2937746,node
Zona d'escalada El Pinet,40.2897121,-0.2987703,node
Escuela de escalada de Ongoeta,43.1000115,-2.5322979,node
